Location, Size, Price, Mortgage (Monthly)
2675 Park Ave #7 Brooklawn/ St. Vincent's  Bridgeport  CT,2 289 sqft,$269000,1828
2675 Park Ave #7 Brooklawn/ St. Vincent's  Bridgeport  CT,2 289 sqft,$269000,1828
162 Griffin Ave North End  Bridgeport  CT,1 900 sqft,$370000,1834
36 Frank St Hollow  Bridgeport  CT,2 902 sqft,$375000,1850
36 Frank St Hollow  Bridgeport  CT,2 902 sqft,$375000,1850
52 Remington St Mill Hill  Bridgeport  CT,2 684 sqft,$379000,1869
779 Fairview Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 441 sqft,$379000,1869
779 Fairview Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 441 sqft,$379000,1869
1079 William St Bridgeport  CT,3 109 sqft,$379900,1873
48 Benham Ave West Side/ West End  Bridgeport  CT,3 657 sqft,$379900,1873
48 Benham Ave West Side/ West End  Bridgeport  CT,3 657 sqft,$379900,1873
125 Park St Bridgeport  CT,3 071 sqft,$380000,1874
219 Orchard St Bridgeport  CT,3 439 sqft,$384900,1896
38 York St Bridgeport  CT,2 809 sqft,$385000,1898
839 Westfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 179 sqft,$389000,1916
125 Lourmel St North End  Bridgeport  CT,2 398 sqft,$389000,1916
422 High Ridge Dr Brooklawn/ St. Vincent's  Bridgeport  CT,1 900 sqft,$389900,1921
954 Kossuth St Bridgeport  CT,3 903 sqft,$390000,1921
168 Beechwood Ave West Side/ West End  Bridgeport  CT,2 874 sqft,$389900,1921
205 Eaton St Brooklawn/ St. Vincent's  Bridgeport  CT,3 250 sqft,$390000,1921
205 Eaton St Brooklawn/ St. Vincent's  Bridgeport  CT,3 250 sqft,$390000,1921
314 Midland St Black Rock  Bridgeport  CT,1 459 sqft,$395000,1945
68 Amsterdam Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 123 sqft,$394900,1945
68 Amsterdam Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 123 sqft,$394900,1945
136 Benham Ave West Side/ West End  Bridgeport  CT,3 284 sqft,$398618,1962
136 Benham Ave West Side/ West End  Bridgeport  CT,3 284 sqft,$398618,1962
367 Bishop Ave East End  Bridgeport  CT,2 880 sqft,$399000,1964
223 Hawley Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 275 sqft,$399000,1964
1201 Park Ave West Side/ West End  Bridgeport  CT,3 547 sqft,$399000,1964
367 Bishop Ave East End  Bridgeport  CT,2 880 sqft,$399000,1964
367 Bishop Ave East End  Bridgeport  CT,2 880 sqft,$399000,1964
70 Hawthorne St Bridgeport  CT,3 984 sqft,$399900,1968
92 Harmony St North End  Bridgeport  CT,1 805 sqft,$399900,1968
231 Hough Ave Bridgeport  CT,2 414 sqft,$399900,1968
1056 Reservoir Ave Resevoir  Bridgeport  CT,2 978 sqft,$400000,1968
1170 Park Ave Hollow  Bridgeport  CT,3 221 sqft,$399900,1968
161 Brion Dr Fairfield  CT,1 664 sqft,$400000,1968
1170 Park Ave Hollow  Bridgeport  CT,3 221 sqft,$399900,1968
70 Hawthorne St Bridgeport  CT,3 984 sqft,$399900,1968
70 Hawthorne St Bridgeport  CT,3 984 sqft,$399900,1968
30 Laurel Ct West Side/ West End  Bridgeport  CT,7 644 sqft,$405000,1992
30 Laurel Ct West Side/ West End  Bridgeport  CT,7 644 sqft,$405000,1992
519 Laurel Ave West Side/ West End  Bridgeport  CT,4 587 sqft,$409000,2011
175 Val Dr Stratford  CT,2 720 sqft,$409000,2011
519 Laurel Ave West Side/ West End  Bridgeport  CT,4 587 sqft,$409000,2011
37 Derby Pl Stratford  CT,2 246 sqft,$410000,2015
195 Lakeside Dr North End  Bridgeport  CT,1 456 sqft,$410000,2030
195 Lakeside Dr North End  Bridgeport  CT,1 456 sqft,$410000,2030
95 Wilson St Black Rock  Bridgeport  CT,2 354 sqft,$415000,2039
319 Horace St Bridgeport  CT,2 401 sqft,$419500,2061
460 Woodlawn Avenue Ext Resevoir  Bridgeport  CT,2 000 sqft,$419900,2062
601 Wood Ave West Side/ West End  Bridgeport  CT,3 537 sqft,$419900,2062
601 Wood Ave West Side/ West End  Bridgeport  CT,3 537 sqft,$419900,2062
460 Woodlawn Avenue Ext Resevoir  Bridgeport  CT,2 000 sqft,$419900,2062
550 Brooks St Bridgeport  CT,3 382 sqft,$420000,2064
1015 Reservoir Ave Resevoir  Bridgeport  CT,2 000 sqft,$420000,2064
1478 North Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 053 sqft,$425000,2087
841 Hancock Ave West Side/ West End  Bridgeport  CT,3 128 sqft,$425000,2087
180 Milne St Hollow  Bridgeport  CT,2 308 sqft,$425000,2087
180 Milne St Hollow  Bridgeport  CT,2 308 sqft,$425000,2087
400 Priscilla St Bridgeport  CT,2 350 sqft,$429000,2105
1150 Hancock Ave West Side/ West End  Bridgeport  CT,2 688 sqft,$429000,2105
1150 Hancock Ave West Side/ West End  Bridgeport  CT,2 688 sqft,$429000,2105
278 Arlington St Brooklawn/ St. Vincent's  Bridgeport  CT,2 753 sqft,$429000,2105
152 Longfellow Ave #152 Fairfield  CT,2 298 sqft,$379500,2134
643 Pearl Harbor St Mill Hill  Bridgeport  CT,2 926 sqft,$437500,2145
643 Pearl Harbor St Mill Hill  Bridgeport  CT,2 926 sqft,$437500,2145
136 Beechwood Ave West Side/ West End  Bridgeport  CT,4 136 sqft,$439000,2153
810 Grand St Hollow  Bridgeport  CT,3 193 sqft,$439000,2153
231 Wayne St Brooklawn/ St. Vincent's  Bridgeport  CT,2 962 sqft,$439000,2153
655 Tunxis Hill Rd Fairfield  CT,1 507 sqft,$439500,2155
116 Paugusett Cir #116 Trumbull  CT,1 400 sqft,$364900,2177
