Location, Size, Price, Mortgage (Monthly), , , Listing Link
464 Hollister Ave East End  Bridgeport  CT,3 176 sqft,$270000,1353,,,https://www.trulia.com/p/ct/bridgeport/464-hollister-ave-bridgeport-ct-06607--2005442504
129 Forestview Rd North End  Bridgeport  CT,1 144 sqft,$270000,1353,,,https://www.trulia.com/p/ct/bridgeport/129-forestview-rd-bridgeport-ct-06606--2005427139
129 Forestview Rd North End  Bridgeport  CT,1 144 sqft,$270000,1353,,,https://www.trulia.com/p/ct/bridgeport/129-forestview-rd-bridgeport-ct-06606--2005427139
226 Houston Ave Resevoir  Bridgeport  CT,1 152 sqft,$269900,1353,,,https://www.trulia.com/p/ct/bridgeport/226-houston-ave-bridgeport-ct-06606--2005430552
464 Hollister Ave East End  Bridgeport  CT,3 176 sqft,$270000,1353,,,https://www.trulia.com/p/ct/bridgeport/464-hollister-ave-bridgeport-ct-06607--2005442504
2660 North Ave #240 Brooklawn/ St. Vincent's  Bridgeport  CT,1 064 sqft,$209900,1362,,,https://www.trulia.com/p/ct/bridgeport/2660-north-ave-240-bridgeport-ct-06604--2005416288
10-12 Clinton Ave West Side/ West End  Bridgeport  CT,2 132 sqft,$275000,1377,,,https://www.trulia.com/p/ct/bridgeport/10-12-clinton-ave-bridgeport-ct-06605--2177192797
115 Caroline St Bridgeport  CT,2 406 sqft,$275000,1377,,,https://www.trulia.com/p/ct/bridgeport/115-caroline-st-bridgeport-ct-06608--2005443515
1017 Grand St Hollow  Bridgeport  CT,1 624 sqft,$275000,1377,,,https://www.trulia.com/p/ct/bridgeport/1017-grand-st-bridgeport-ct-06604--2005412618
1058 William St Bridgeport  CT,2 088 sqft,$274900,1377,,,https://www.trulia.com/p/ct/bridgeport/1058-william-st-bridgeport-ct-06608--2005443341
84 Barnum Ave Bridgeport  CT,2 150 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/84-barnum-ave-bridgeport-ct-06608--2005445952
160 Wake St Mill Hill  Bridgeport  CT,2 000 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/160-wake-st-bridgeport-ct-06610--2005447805
888 Platt St North End  Bridgeport  CT,1 152 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/888-platt-st-bridgeport-ct-06606--1019501011
397 James St Hollow  Bridgeport  CT,2 847 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/397-james-st-bridgeport-ct-06604--2005417556
194 Smith St East End  Bridgeport  CT,2 218 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/194-smith-st-bridgeport-ct-06607--2005441589
397 James St Hollow  Bridgeport  CT,2 847 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/397-james-st-bridgeport-ct-06604--2005417556
194 Smith St East End  Bridgeport  CT,2 218 sqft,$279000,1396,,,https://www.trulia.com/p/ct/bridgeport/194-smith-st-bridgeport-ct-06607--2005441589
832 Brewster St Black Rock  Bridgeport  CT,844 sqft,$279900,1400,,,https://www.trulia.com/p/ct/bridgeport/832-brewster-st-bridgeport-ct-06605--2005424848
70 Pleasantview Ave North End  Bridgeport  CT,1 072 sqft,$279900,1400,,,https://www.trulia.com/p/ct/bridgeport/70-pleasantview-ave-bridgeport-ct-06606--2005438538
382 Catherine St Hollow  Bridgeport  CT,2 005 sqft,$279900,1400,,,https://www.trulia.com/p/ct/bridgeport/382-catherine-st-bridgeport-ct-06604--1045765867
1397 Park Ave West Side/ West End  Bridgeport  CT,3 244 sqft,$280000,1400,,,https://www.trulia.com/p/ct/bridgeport/1397-park-ave-bridgeport-ct-06604--2005413543
105 Broadway North End  Bridgeport  CT,1 696 sqft,$279900,1400,,,https://www.trulia.com/p/ct/bridgeport/105-broadway-bridgeport-ct-06606--2005425720
84 Temple St Stratford  CT,2 028 sqft,$280000,1400,,,https://www.trulia.com/p/ct/stratford/84-temple-st-stratford-ct-06615--2005491820
1397 Park Ave West Side/ West End  Bridgeport  CT,3 244 sqft,$280000,1400,,,https://www.trulia.com/p/ct/bridgeport/1397-park-ave-bridgeport-ct-06604--2005413543
105 Broadway North End  Bridgeport  CT,1 696 sqft,$279900,1400,,,https://www.trulia.com/p/ct/bridgeport/105-broadway-bridgeport-ct-06606--2005425720
3200 Madison Ave #D3 North End  Bridgeport  CT,1 343 sqft,$229000,1414,,,https://www.trulia.com/p/ct/bridgeport/3200-madison-ave-d3-bridgeport-ct-06606--2326255538
3200 Madison Ave #28 North End  Bridgeport  CT,1 343 sqft,$229900,1419,,,https://www.trulia.com/p/ct/bridgeport/3200-madison-ave-28-bridgeport-ct-06606--2005432998
325 Ruth St North End  Bridgeport  CT,1 326 sqft,$285000,1424,,,https://www.trulia.com/p/ct/bridgeport/325-ruth-st-bridgeport-ct-06606--2005433178
248 Hansen Ave Black Rock  Bridgeport  CT,1 280 sqft,$285000,1424,,,https://www.trulia.com/p/ct/bridgeport/248-hansen-ave-bridgeport-ct-06605--2005422057
166 Laurel Ave West Side/ West End  Bridgeport  CT,2 694 sqft,$285000,1424,,,https://www.trulia.com/p/ct/bridgeport/166-laurel-ave-bridgeport-ct-06605--1007127706
545 Carroll Ave East End  Bridgeport  CT,2 583 sqft,$285000,1424,,,https://www.trulia.com/p/ct/bridgeport/545-carroll-ave-bridgeport-ct-06607--2005442650
111 Oakleaf St Resevoir  Bridgeport  CT,1 200 sqft,$285000,1424,,,https://www.trulia.com/p/ct/bridgeport/111-oakleaf-st-bridgeport-ct-06606--2005426200
545 Carroll Ave East End  Bridgeport  CT,2 583 sqft,$285000,1424,,,https://www.trulia.com/p/ct/bridgeport/545-carroll-ave-bridgeport-ct-06607--2005442650
51 Elm Ct North End  Bridgeport  CT,1 287 sqft,$289000,1443,,,https://www.trulia.com/p/ct/bridgeport/51-elm-ct-bridgeport-ct-06606--2005436692
